Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type
"C1, C10, C11, C12, C13, C2, C4, C5, C8",9,100nF,C1206,,,,smt
C3,1,220nF,C1206,,,,smt
C9,1,470nF,C1206,,,,smt
"D1, D2",2,1N5819,SMA-DIODE,,,,tht
D3,1,SS14,DIOM4325X250N,,,,tht
IC2,1,LM358D,SO08,,,,smt
"R10, R12, R15, R18, R4, R5, R6, R8",8,10K,R0805,,,,smt
"R13, R14",2,0R5,R2512,,,,tht
R16,1,220K,R0805,,,,smt
"R20, R21",2,47K,R0805,,,,smt
R3,1,33K,R0805,,,,smt
R7,1,68K,R0805,,,,smt
R9,1,120R,M1206,,,,smt
U1,1,MCP2562-E/SN,SOIC127P600X175-8N,,,,smt
