pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
156.08,-83.002519,180.0,bottom,C1,,,C1206,100nF,smt
114.5,-106.9,90.0,bottom,C10,,,C1206,100nF,smt
111.871887,-92.499225,90.0,bottom,C11,,,C1206,100nF,smt
176.699406,-111.061338,0.0,bottom,C12,,,C1206,100nF,smt
138.385334,-93.953788,-90.0,bottom,C13,,,C1206,100nF,smt
167.399943,-82.946682,0.0,bottom,C2,,,C1206,100nF,smt
167.340982,-87.13724,0.0,bottom,C3,,,C1206,220nF,smt
125.61064,-114.959397,-90.0,bottom,C4,,,C1206,100nF,smt
184.934734,-116.431269,180.0,bottom,C5,,,C1206,100nF,smt
184.014259,-98.079794,180.0,bottom,C8,,,C1206,100nF,smt
102.1461,-83.42,90.0,bottom,C9,,,C1206,470nF,smt
157.48,-88.9,-90.0,bottom,D1,,,SMA-DIODE,1N5819,tht
152.4,-88.9,-90.0,bottom,D2,,,SMA-DIODE,1N5819,tht
187.089204,-75.209271,90.0,bottom,D3,,,DIOM4325X250N,SS14,tht
179.013796,-105.215872,90.0,bottom,IC2,,,SO08,LM358D,smt
114.5,-112.05,90.0,bottom,R10,,,R0805,10K,smt
167.327696,-117.78636,0.0,bottom,R12,,,R0805,10K,smt
183.552093,-88.613747,90.0,bottom,R13,,,R2512,0R5,tht
188.199653,-88.66825,90.0,bottom,R14,,,R2512,0R5,tht
161.924081,-117.75925,180.0,bottom,R15,,,R0805,10K,smt
185.615787,-102.055182,90.0,bottom,R16,,,R0805,220K,smt
180.649562,-120.352054,180.0,bottom,R18,,,R0805,10K,smt
108.5,-106.275297,-90.0,bottom,R20,,,R0805,47K,smt
110.709944,-106.250243,-90.0,bottom,R21,,,R0805,47K,smt
179.771512,-115.75176,-90.0,bottom,R3,,,R0805,33K,smt
185.632687,-107.894422,-90.0,bottom,R4,,,R0805,10K,smt
181.163612,-100.801225,180.0,bottom,R5,,,R0805,10K,smt
149.508071,-84.183829,90.0,bottom,R6,,,R0805,10K,smt
161.61,-101.6,180.0,bottom,R7,,,R0805,68K,smt
161.61,-99.06,0.0,bottom,R8,,,R0805,10K,smt
107.500043,-86.19535,0.0,bottom,R9,,,M1206,120R,smt
115.4471,-101.496638,0.0,bottom,U1,,,SOIC127P600X175-8N,MCP2562-E/SN,smt
