Designator,Footprint,Quantity,Value,LCSC Part #
BOOSTERMODE1,PinHeader_1x05_P2.54mm_Vertical,1,BoosterInput,
"C1, C10, C11, C12, C13, C2, C4, C5, C8",1206,9,100nF,
C3,1206,1,220nF,
C9,1206,1,470nF,
"D1, D2",D_SOD-128,2,1N5819,
D3,DIOM4325X250N,1,SS14,
IC2,SO08,1,LM358D,
L6203,TO-220-11_P3.4x5.08mm_StaggerOdd_Lead4.58mm_Vertical,1,L6203,
"R10, R12, R15, R18, R4, R5, R6, R8",0805,8,0805W8F1002T5E,
"R13, R14",2512,2,RLP25FEER500,
R16,0805,1,0805W8F2203T5E,
R17,Potentiometer_Bourns_3386P_Vertical,1,50k,
"R20, R21",0805,2,0805W8F4702T5E,
R3,0805,1,0805W8F3302T5E,
R7,0805,1,0805W8F6802T5E,
R9,1206,1,1206W4F1200T5E,
U1,SOIC127P600X175-8N,1,MCP2562-E/SN,
