Designator,Mid X,Mid Y,Rotation,Layer
C1,153.88979,-83.002519,0.0,bottom
C10,114.5,-106.9,90.0,bottom
C11,111.871887,-92.499225,90.0,bottom
C12,176.699406,-111.061338,180.0,bottom
C13,138.385334,-93.953788,270.0,bottom
C2,167.399943,-82.946682,180.0,bottom
C3,167.340982,-87.13724,180.0,bottom
C4,125.61064,-114.959397,270.0,bottom
C5,184.934734,-116.431269,0.0,bottom
C8,184.014259,-98.079794,0.0,bottom
C9,102.1461,-83.42,90.0,bottom
D1,152.973528,-90.002594,90.0,bottom
D2,157.063737,-90.115129,90.0,bottom
D3,187.089204,-75.209271,90.0,bottom
H3,103.538743,-75.327522,0.0,top
IC2,179.013796,-105.215872,90.0,bottom
R10,114.5,-112.05,90.0,bottom
R12,167.327696,-117.78636,180.0,bottom
R13,183.552093,-88.613747,90.0,bottom
R14,188.199653,-88.66825,90.0,bottom
R15,161.924081,-117.75925,0.0,bottom
R16,185.615787,-102.055182,90.0,bottom
R18,180.649562,-120.352054,0.0,bottom
R19,191.460262,-112.581413,180.0,bottom
R20,108.5,-106.275297,270.0,bottom
R21,110.709944,-106.250243,270.0,bottom
R3,179.771512,-115.75176,270.0,bottom
R4,185.632687,-107.894422,270.0,bottom
R5,181.163612,-100.801225,0.0,bottom
R6,149.508071,-84.183829,90.0,bottom
R7,161.61,-101.6,0.0,bottom
R8,161.61,-99.06,180.0,bottom
R9,107.500043,-86.19535,180.0,bottom
U1,115.4471,-101.496638,180.0,bottom
